"ID","A1","A2a","A2b","A3","A4","A5","A7_GAS","A7_ELECT","A7_OIL","A7t_LPG","A7_COAL","A7_WOODBIO","A8_boil_more_10","A8_boil_average","A8_boil_condensing","A8_boil_new","A8_boil_unknown","A8_boil_automatic","A8_modern_storage","A8_old_storage","A8_roomheaters","A8_oil_coal_heaters","A8_wood_bio_stove","A8_openfire","A8_heatingsystem_other","A9","A10","A11","A12","A13","A14","A15","A15_GAS","A15_GASBP","A15_GASkw","A15_ELECTRICITY","A15_ELEBP","A15_ELEkw","A15_OIL","A15_OILBP","A15_OILL","A15_LPG","A15_LGPBP","A15_LPGL","A15_COAL","A15_COLBP","A15_COLkg","A15_WOOD_BIOMASS","A15_BIOBP","A15_BIOkg","A16","A17_renewa_solar","A17_renewa_photovolt","A17_renewa_groundheatpump","A17_renewa_woodbio","A17_renewa_hydropow","A17_renewa_airheatpump","A17_renewa_idont","A18_Loft","A18_Loft_thickness","A18_Cavitywall","A18_Solidwall","A18_Underfloor","A18_Draughtexclusion","A18_Doubleglazing","A18_Doubleglazingpercent","A18_Idontknow","A19","A20","A21","A22_numberfridgefreezer","A22_agefridgefreezer","A22_efficiencyfridgfreez","t1_numberfridge","A22_agefridge","A22_efficiencyfridge","t1_numberfreezer","A22_agefreezer","A22_efficiencyfreezer","t1_numberdishwasher","A22_agedishwashers","A22_efficiencydishwasher","t1_dryer","A22_agedryer","A22_efficiencydryer","t1_washingmachine","A22_agewashingmachine","A22_efficiencywashing","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34_TVst","A34_TVlcd","A34_Tvpla","A34_Sat","A34_Cabl","A34_Freev","A34_DVD","A34_VCR","A34_PVR","A34_PC","A34_LapPC","A34_Inkj","A34_Lasr","A34_Scan","A34_Mobch","A34_Othch","A35","A36","A37"
"household_42",2,5,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,3,1,2,60,0,2,50,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,20,12,7,1,1,10,0,1,10,0,1,10,1,2,10,0,1,10,1,1,10,3,2,1,4,2,7,2,1,1,4,20,0,1,0,1,0,0,1,0,0,1,2,0,1,0,3,6,2,3,3
"household_43",2,6,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,2,3,3,3,1,1,0,0,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,6,1,0,0,0,1,1,1,20,14,7,1,1,4,0,1,10,0,1,10,0,3,10,1,1,10,1,1,10,2,2,1,11,2,7,1,1,0,7,7,0,1,0,0,0,1,1,0,1,1,2,2,0,2,2,2,1,4,4
"household_46",4,4,0,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,3,1,1,0,0,2,50,0,3,0,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,0,0,0,0,1,1,1,50,45,7,1,1,10,0,1,10,1,1,10,1,2,10,1,1,10,1,1,10,2,2,1,8,2,7,1,1,0,8,7,0,1,0,0,0,1,1,0,1,0,3,2,0,1,4,4,3,3,3
"household_49",3,4,0,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,3,3,2,3,1,1,0,0,2,30,0,1,0,0,1,0,0,1,0,0,4,30,0,2,1,0,0,1,0,0,1,1,9,1,0,1,1,1,1,1,20,20,6,0,1,10,1,1,1,1,1,1,1,1,2,0,1,10,1,1,3,3,2,2,5,2,7,1,1,1,3,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,4,3,3
"household_50",3,4,0,1,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,2.8333333333333335,1,1,0,28444,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,18,15,6,1,1,10,0,1,10,1,1,10,0,3,10,1,1,10,1,1,10,1,2,1,20,2,6,1,1,0,12,2,0,4,0,1,0,3,1,1,0,1,1,1,0,0,3,2,3,3,6
"household_53",5,3,2,1,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,3,3,1,2,0,0,2,0,0,1,0,0,1,0,0,3,90,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,39,11,6,1,1,3,0,1,10,0,1,10,1,3,3,1,1,4,1,1,3,2,2,2,3,2,6,1,1,1,17,7,1,0,0,0,0,1,1,0,0,1,1,1,0,0,4,6,4,2,4
"household_54",3,6,0,1,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,3,2,3,1,3,350,0,3,125,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,21,12,6,0,1,10,1,1,2,1,1,2,1,3,10,1,1,10,1,1,10,1,2,1,8,1,6,2,1,0,20,15,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,4,1,3,5
"household_55",2,1,0,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,1,2,0,31200,2,0,2100,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,8,0,0,1,1,1,1,1,30.034146341463416,14.127450980392156,5,1,1,2,0,1,10,0,1,2,1,1,2,1,3,10,1,1,3,1,2,1,2,1,7,1,2,1,7,8,1,0,0,0,0,0,0,0,1,2,2,1,0,1,2,4,3,4,0
"household_60",2,4,0,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,3,1,2,0,2300,2,0,300,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,8,0,0,0,0,1,1,1,22,18,7,1,1,10,0,1,10,0,1,10,1,1,3,1,1,10,1,1,3,3,2,1,5,2,7,3,2,0,14,4,1,1,0,0,0,2,1,0,1,1,0,1,0,1,2,1,3,3,3
"household_61",4,4,0,1,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,2,1,3,2,3,1,1,0,0,2,70,0,0,0,0,2,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0,0,0,1,1,1,32,8,7,1,1,10,0,1,10,0,1,10,1,1,10,1,1,10,1,1,10,1,2,1,4,2,7,1,2,0,7,5,3,1,0,1,0,0,1,1,0,0,3,1,0,0,3,3,2,4,3
